                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      
          HI:     142005       9802    2649463       9956      50343    2729851      44290       9886     198663      91539     182343      77020     105079      16440      85319      11008          0          0          0          0
       TIMER:    9410828    1595874    1086065     189889     796229     523578     459140     256315    1605331     953627    1541463    1004160     972058     253436     679887     229533       7095       6338       4899       4858
      NET_TX:         53         12         24          5     863485         10         61          9         53         28         50         16         52         19         34         21         62         63         60         67
      NET_RX:    2306817     476114    2253520     188119   15875915     456409    3235212     261137   63784886   27390976   31629429   16551991    1611333      42946    1975005     126132   10307632   10332555   10324419   10338556
       BLOCK:       1620        222        829        526       1431        120       1286        917        559       1147       2034        287       1146        143       1160       2800          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:        261         60        113         12      14279     186026        119         41        557        117        547        163        267         27        174         36          0          0          0          0
       SCHED:   87466242   17318900    3645911     951450    2117132    1174774    1843722     886506    7503921    2877241    7454908    3021968    3526974    1009218    2780411     954259          0          0          0          0
     HRTIMER:          0          0          0          0       6081          0          0          0          2          0          0          0          0          0          0          0          0          0          0          0
         RCU:    8756377    3580569    3620355    1162021    2994221    1470409    2598534    1239496    6766882    3377657    6963494    3444131    4055098    1337135    3511634    1267260      30738      30559      21598      30542
