                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      
          HI:     142005       9802    2649457       9956      50343    2729593      44288       9886     198663      91539     182343      77020     105079      16440      85319      11008          0          0          0          0
       TIMER:    9406079    1594134    1085631     189834     794915     522626     458736     256183    1604864     953267    1541001    1002979     971335     253374     679749     229487       5571       5351       4542       4413
      NET_TX:         53         12         24          5     429677         10         61          9         53         28         50         16         52         19         34         21         57         61         59         62
      NET_RX:    1967083     398794    1694485     187973   15032159     409923    2954175     261133   51128253   24221395   27167215   14460400    1383075      42864    1623532     125906    6050528    6054779    6044566    6048738
       BLOCK:       1620        222        829        526       1431        120       1286        917        559       1147       2034        287       1146        143       1160       2800          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:        261         60        113         12      14227     186020        119         41        557        117        547        163        267         27        174         36          0          0          0          0
       SCHED:   87457553   17291969    3641104     950064    2114288    1173065    1842596     886240    7500879    2875882    7450490    3018108    3523212    1008501    2777722     953944          0          0          0          0
     HRTIMER:          0          0          0          0       6081          0          0          0          2          0          0          0          0          0          0          0          0          0          0          0
         RCU:    8747479    3574004    3615299    1161424    2988820    1467004    2596308    1238776    6758781    3374836    6956419    3438621    4048714    1335880    3507023    1266655      21871      21676      12707      21661
