                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      
          HI:     142005       9802    2649457       9956      50343    2729343      44288       9886     198663      91539     182343      77020     105079      16440      85319      11008          0          0          0          0
       TIMER:    9398751    1592934    1085126     189683     792891     521523     458495     256031    1604614     953229    1540676    1000968     971016     253336     679481     229439       5571       5351       4542       4413
      NET_TX:         53         12         24          5       1769         10         61          9         53         28         50         16         52         19         34         21          0          0          0          0
      NET_RX:    1738349     332746    1390166     118020   14071359     368762    2303697     185708   35146283   16341933   25945632   14460400     955269      42864    1178596     125901         16      10333          2          2
       BLOCK:       1620        222        829        526       1431        120       1286        917        559       1147       2034        287       1146        143       1160       2800          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:        261         60        113         12      13365     186011        119         41        557        117        547        163        267         27        174         36          0          0          0          0
       SCHED:   87448971   17263056    3636890     948712    2110848    1171233    1841120     885786    7499146    2875336    7447248    3011556    3519901    1007871    2773711     953346          0          0          0          0
     HRTIMER:          0          0          0          0       6081          0          0          0          2          0          0          0          0          0          0          0          0          0          0          0
         RCU:    8740554    3567839    3611370    1160398    2983349    1463914    2593797    1237978    6752399    3371784    6952372    3430938    4044138    1335090    3501089    1265916      21865      21671      12701      21658
