                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      
          HI:     141999       9802    2649221       9956      50333    2713450      44276       9886     198655      91539     182331      77016     105071      16438      85296      11008          0          0          0          0
       TIMER:    8933234    1461345    1061902     183258     770955     514980     446512     249529    1555313     886091    1501087     919421     954606     251243     668698     227559       4244       4193       4221       4277
      NET_TX:         53         12         24          5       1739         10         58          9         50         28         49         15         52         16         34         21          0          0          0          0
      NET_RX:     926393      11701     427605      94633   13117875     124242    1203571     184642   12639307    5011847    9419895    1112380     474017       8477     403463      42807          0          0          0          0
       BLOCK:       1620        222        829        526       1431        120       1286        917        559       1147       2034        287       1146        143       1160       2788          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:        261         60        113         12      10644     184881        119         41        557        117        547        163        267         27        174         36          0          0          0          0
       SCHED:   86900372   15621103    3422382     909298    2027947    1154443    1775350     864464    7184403    2678540    7116435    2766440    3362455     975998    2651157     922717          0          0          0          0
     HRTIMER:          0          0          0          0       6081          0          0          0          2          0          0          0          0          0          0          0          0          0          0          0
         RCU:    8138403    3236222    3431455    1129448    2822752    1434311    2460853    1194432    6318386    3117804    6494869    3131477    3794873    1282765    3295713    1216511       4008       3994       3943       3989
