                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      
          HI:     141999       9802    2649260       9956      50333    2716408      44280       9886     198657      91539     182333      77016     105071      16438      85300      11008          0          0          0          0
       TIMER:    9016699    1485059    1066405     184535     776930     516561     449370     250728    1562760     898161    1507628     935850     959720     251639     671085     227918       5561       5328       4532       4404
      NET_TX:         53         12         24          5       1747         10         58          9         51         28         49         15         52         19         34         21          0          0          0          0
      NET_RX:    1731567     331825    1386454     117373   13889507     367526    2296340     185546   35144399   16341698   25943836   14460242     952408      41850    1175817     125547         14      10333          2          2
       BLOCK:       1620        222        829        526       1431        120       1286        917        559       1147       2034        287       1146        143       1160       2788          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:        261         60        113         12      11387     185247        119         41        557        117        547        163        267         27        174         36          0          0          0          0
       SCHED:   87002285   15922934    3467587     918990    2044940    1159194    1791500     869155    7237937    2715577    7174199    2811451    3395884     984684    2673717     928507          0          0          0          0
     HRTIMER:          0          0          0          0       6081          0          0          0          2          0          0          0          0          0          0          0          0          0          0          0
         RCU:    8250153    3296596    3468304    1136734    2855288    1442598    2490670    1201879    6393123    3164472    6575049    3189693    3847350    1297988    3335083    1226556      21848      21652      12690      21649
