                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      
          HI:     141999       9802    2649260       9956      50333    2716150      44280       9886     198657      91539     182333      77016     105071      16438      85300      11008          0          0          0          0
       TIMER:    9010315    1483689    1065794     184441     776198     516482     449007     250654    1561778     898113    1506900     935492     958340     251600     670875     227891       5020       4851       4310       4372
      NET_TX:         53         12         24          5       1747         10         58          9         51         28         49         15         52         19         34         21          0          0          0          0
      NET_RX:    1623226     221743    1335343     113160   13835691     312289    2168534     185527   28791824   12210423   21628150    8716024     906808      28453     982306     111062         13         13          2          2
       BLOCK:       1620        222        829        526       1431        120       1286        917        559       1147       2034        287       1146        143       1160       2788          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:        261         60        113         12      11387     185238        119         41        557        117        547        163        267         27        174         36          0          0          0          0
       SCHED:   86993495   15896659    3462986     918180    2043190    1158519    1790512     868611    7232192    2715276    7168809    2810062    3388686     983905    2671394     927845          0          0          0          0
     HRTIMER:          0          0          0          0       6081          0          0          0          2          0          0          0          0          0          0          0          0          0          0          0
         RCU:    8241173    3291609    3464499    1136065    2852317    1441589    2488061    1200957    6384484    3162488    6567189    3185635    3838736    1296414    3331526    1225559      12994      12894       3950      12877
