                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      CPU16      CPU17      CPU18      CPU19      
          HI:     141999       9802    2649253       9956      50333    2715900      44278       9886     198657      91539     182333      77016     105071      16438      85300      11008          0          0          0          0
       TIMER:    9002586    1483240    1065151     184359     775513     516337     448401     250600    1561010     897738    1506020     935448     956969     251566     670490     227868       5020       4851       4310       4372
      NET_TX:         53         12         24          5       1747         10         58          9         51         28         49         15         52         19         34         21          0          0          0          0
      NET_RX:    1168708     111129     891658     113146   13525032     124520    1670816     185328   20279741    8812074   14127734    3454198     716622      28397     546384      42836         13         13          2          2
       BLOCK:       1620        222        829        526       1431        120       1286        917        559       1147       2034        287       1146        143       1160       2788          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:        261         60        113         12      11385     185136        119         41        557        117        547        163        267         27        174         36          0          0          0          0
       SCHED:   86984968   15870208    3459437     917200    2041416    1157644    1788754     868404    7227202    2713980    7163245    2809546    3381383     983604    2669398     927521          0          0          0          0
     HRTIMER:          0          0          0          0       6081          0          0          0          2          0          0          0          0          0          0          0          0          0          0          0
         RCU:    8232955    3286339    3461247    1135288    2849463    1440295    2485156    1200447    6376810    3160184    6559378    3183276    3830363    1295807    3328283    1225031      12990      12890       3950      12877
